300036, 超图软件, 0, 0.7653, 
002386, 天原股份, 0, 0.7631, 
002772, 众兴菌业, 0, 0.7455, 
603032, *ST德新, 0, 0.7388, 
600460, 士兰微, 0, 0.7324, 
300477, 合纵科技, 0, 0.7303, 
688097, 博众精工, 0, 0.7276, 
000949, 新乡化纤, 0, 0.7223, 
002407, 多氟多, 0, 0.7216, 
300500, 启迪设计, 0, 0.7206, 
300082, 奥克股份, 0, 0.7192, 
300345, 华民股份, 0, 0.7187, 
300769, 德方纳米, 0, 0.7148, 
603324, 盛剑环境, 0, 0.7129, 
605080, 浙江自然, 0, 0.7090, 
300842, 帝科股份, 0, 0.7079, 
002274, 华昌化工, 0, 0.7072, 
300982, 苏文电能, 0, 0.7062, 
002529, 海源复材, 0, 0.7040, 
600327, 大东方, 0, 0.7028, 
300953, 震裕科技, 0, 0.7019, 
002119, 康强电子, 0, 0.7006, 
688551, 科威尔, 0, 0.6996, 
600884, 杉杉股份, 0, 0.6937, 
300727, 润禾材料, 0, 0.6919, 
300708, 聚灿光电, 0, 0.6917, 
002709, 天赐材料, 0, 0.6892, 
000707, *ST双环, 0, 0.6842, 
600652, *ST游久, 0, 0.6803, 
600172, 黄河旋风, 0, 0.6800, 
300748, 金力永磁, 0, 0.6711, 
603893, 瑞芯微, 0, 0.6692, 
300118, 东方日升, 0, 0.6685, 
603799, 华友钴业, 0, 0.6672, 
605337, 李子园, 0, 0.6609, 
000611, *ST天首, 0, 0.6604, 
688636, 智明达, 0, 0.6576, 
688133, 泰坦科技, 0, 0.6560, 
603650, 彤程新材, 0, 0.6478, 
002154, 报, 0, 0.6446, 
300537, 广信材料, 0, 0.6420, 
688516, 奥特维, 0, 0.6415, 
300309, 吉艾科技, 0, 0.6400, 
300890, 翔丰华, 0, 0.6398, 
300305, 裕兴股份, 0, 0.6365, 
300207, 欣旺达, 0, 0.6354, 
000920, 南方汇通, 0, 0.6331, 
300480, 光力科技, 0, 0.6314, 
300382, 斯莱克, 0, 0.6304, 
600478, 科力远, 0, 0.6303, 
605089, 味知香, 0, 0.6278, 
300391, 康跃科技, 0, 0.6239, 
002464, *ST众应, 0, 0.6212, 
300811, 铂科新材, 0, 0.6206, 
002892, 科力尔, 0, 0.6178, 
688536, 思瑞浦, 0, 0.6128, 
688019, 安集科技, 0, 0.6121, 
688518, 联赢激光, 0, 0.6120, 
300829, 金丹科技, 0, 0.6102, 
000848, 承德露露, 0, 0.6098, 
